word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
overhaul,overhaul,VERB,동사,/ˈoʊvɚˌhɑl/,periodic maintenance on a car or machine,,it was time for an overhaul on the tractor,"With the economic fallout from the Middle East conflict now a matter of how long, rather than hypothetical, President Lee Jae Myung says South Korea must move quickly to overhaul its vulnerable economic structure.",B2,5.4101,False,inspection and repair|modernise|modernize|overtake|pass|redevelopment|renovation|service
readiness,readiness,NOUN,명사,,the state of having been made ready or prepared for use or action (especially military action),,putting them in readiness,"The official stressed that Iran completely rejects being pressured by deadlines, claiming Washington lacks the genuine readiness 
for a permanent end to the war.",B2,5.4101,False,eagerness|facility|forwardness|preparation|preparedness|set|zeal
homage,homage,NOUN,명사,/ˈhɒmɪdʒ/,respectful deference,,pay court to the emperor,"This is seen as paying homage to Kim Jong-un during his own successor period, and is aimed at easing doubts about a female successor 
while strengthening the succession narrative.",B2,5.3904,False,court
hostilities,hostility,NOUN,명사,/hɒˈstɪlɪti/,a hostile (very unfriendly) disposition,,he could not conceal his hostility,"The United States and Iran have both received a framework 
for a possible ceasefire agreement, according to Reuters, 
raising hopes for a pause in hostilities.",B2,5.3904,False,aggression|antagonism|enmity|ill will
hypothetical,hypothetical,ADJ,형용사,/ˌhaɪpəˈθɛtɪkl/,"a hypothetical possibility, circumstance, statement, proposal, situation, etc.",,"consider the following, just as a hypothetical","With the economic fallout from the Middle East conflict now a matter of how long, rather than hypothetical, President Lee Jae Myung says South Korea must move quickly to overhaul its vulnerable economic structure.",B2,5.3904,False,conjectural|divinatory|hypothetic|supposed|suppositional|suppositious|supposititious
slash,slash,NOUN,명사,,a wound made by cutting,,he put a bandage over the cut,"Presiding over a Cabinet-slash-emergency economic meeting at the Blue House on Monday, Lee urged his Cabinet to, number one, diversify energy supply routes and, number two, reduce the country's heavy dependence on fossil fuels.",B2,5.3497,False,cut|cut down|diagonal|gash|separatrix|slice|solidus|stroke|virgule
accelerating,accelerate,VERB,동사,/æk.ˈsɛl.ə.ˌɹeɪt/,move faster,,The car accelerated,"North Korea seems to be accelerating efforts to make regime leader 
Kim Jong-un's daughter Kim Ju-ae his successor, 
according to the National Intelligence Service on Monday.",B2,5.3401,False,quicken|speed|speed up
dependence,dependence,NOUN,명사,/dɪˈpɛndəns/,the state of relying on or being controlled by someone or something else,,He had a deep dependence on her for guidance.,"Presiding over a Cabinet-slash-emergency economic meeting at the Blue House on Monday, Lee urged his Cabinet to, number one, diversify energy supply routes and, number two, reduce the country's heavy dependence on fossil fuels.",B2,5.3401,False,addiction|dependance|dependency|habituation
fallout,fallout,NOUN,명사,/ˈfɔːlaʊt/,the radioactive particles that settle to the ground after a nuclear explosion,,,"With the economic fallout from the Middle East conflict now a matter of how long, rather than hypothetical, President Lee Jae Myung says South Korea must move quickly to overhaul its vulnerable economic structure.",B2,5.3098,False,radioactive dust|side effect
briefing,briefing,NOUN,명사,/ˈbɹiːfɪŋ/,"detailed instructions, as for a military operation",,The U.S. president was briefed on the military coup and its implications on African stability.,"During a closed briefing to the National Assembly Intelligence Committee, the NIS said Ju-ae has recently made appearances in defense-related areas, such as driving a new battle tank with her father.",B2,5.2596,False,brief
negotiations,negotiation,NOUN,명사,/nɪˌɡəʊʃiˈeɪʃən/,a discussion intended to produce an agreement,,the buyout negotiation lasted several days,"3.
Speaking after a high-level policy consultation at the National Assembly on Monday, ruling party lawmaker Ahn Do-geol said Seoul is engaged in active diplomatic negotiations with key energy producers, including Saudi Arabia, Oman and Algeria, with special envoys led by the foreign ministry among the options under consideration.",B2,5.2197,True,dialogue|talks
according,accord,VERB,동사,,harmony of people's opinions or actions or characters,,the two parties were in agreement,"The United States and Iran have both received a framework 
for a possible ceasefire agreement, according to Reuters, 
raising hopes for a pause in hostilities.",B2,5.1898,False,accordance|agree|agreement|concord|conformity|consort|fit in|harmonise|harmonize|pact|treaty
revision,revision,NOUN,명사,/riˈvɪ.ʒ(ə)n/,the act of revising or altering (involving reconsideration and modification),,it would require a drastic revision of his opinion,The National Assembly passed the revision last week.,B2,5.1798,False,alteration|rescript|revisal|revise|rewrite
petroleum,petroleum,NOUN,명사,/pəˈtɹoʊliəm/,a dark oil consisting mainly of hydrocarbons,,,"To address immediate supply concerns, authorities are looking to release strategic petroleum reserves, with state-held oil to be supplied first to domestic refiners and later swapped out once new imports arrive.",B2,5.1002,False,crude|crude oil|fossil oil|oil|rock oil
likelihood,likelihood,NOUN,명사,/ˈlaɪklihʊd/,the probability of a specified outcome,,In all likelihood the meeting will be cancelled.,"The government says it will resume Red Sea transits by oil tankers that meet ""certain conditions,"" with the foreign minister saying the likelihood of the route being completely blocked or directly targeted remains low.",B2,5.0899,False,likeliness
